sentence1,sentence2,drug
"To facilitate efficient co-delivery of CA4 and PIC for enhanced anti-angiogenic immunotherapy, we develop an injectable metal-organic framework hydrogel using Zeolitic Imidazolate Framework-8 (ZIF-8) and hyaluronic acid (HA) (ZIF-8/HA).","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Recently, the combination of hyaluronic acid (HA) and ozone therapy has gained popularity as a supportive treatment for chronic inflammation, in addition to its established role in enhancing healing after dental procedures.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Here, we reported a novel functional microneedle (MN) array comprising methacrylated hyaluronic acid (MeHA) embedded with pH-responsive functionalized zeolitic imidazolate framework-8 (ZIF-8) nanoparticles to treat bacteria-infected cutaneous wounds.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Intra-articular therapies, such as hyaluronic acid (HA) and platelet-rich plasma (PRP), have garnered attention for their potential to manage osteoarthritis OA symptoms effectively.","(1) Background: Current treatments for knee osteoarthritis (KOA), such as intra-articular corticosteroids or hyaluronic acid (HA) injections, are controversial due to their ineffectiveness in preventing disease progression.",Hyaluronic acid
"Conclusion
In our clinical study, a single-session treatment with a hybrid product combining hyaluronic acid and calcium hydroxyapatite resulted in positive cosmetic satisfaction and increased dermal thickness.","However, to our knowledge, prospective studies assessing patient satisfaction and sonographic changes in dermal thickness after a single session of a hybrid filler combining hyaluronic acid and calcium hydroxyapatite have not been previously published.",Hyaluronic acid
"In mouse tumor models, the intratumoral injection of poly(I:C)+R848-protamine-NCs significantly prevented tumor growth and lung metastasis.","Knockdown of IRAK1 impaired tumor growth in peritoneal disease models, and impaired HA-induced spheroid growth and STAT3 phosphorylation.",Hyaluronic acid
"METHODS
A prospective, single-center, evaluator-blinded, randomized controlled study was designed to evaluate the effectiveness and safety of Hyamax® Volumizer in the correction of chin retrusion in the 18-55-year-old Chinese population for 12 months after treatment.","METHODS
This randomized, evaluator-blinded, no-treatment controlled study evaluated effectiveness and safety of HAVOL for correction of midface volume deficit and midface contour deficiency in Chinese subjects.",Hyaluronic acid
This study develops a novel drug delivery system using a hyaluronic acid (HA) hydrogel for controlled release of epidermal growth factor (EGF) to enhance skin wound healing.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"OBJECTIVE
To investigate the efficacy of ribose-crosslinked collagen (RCLC) matrices functionalized by crosslinked hyaluronic acid (xHya) for reconstructive treatment of class I and III (b-c) peri-implantitis lesions in a transmucosal healing mode.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
This study underscores a novel pH-sensitive hyaluronic acid-based drug delivery system with significant potential for the effective treatment of intracellular infections.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"BACKGROUND
The present pilot study aimed to assess clinical and radiographic efficiencies of bovine bone substitute (BBS) merged with hyaluronic acid (HA) in peri-implantits reconstructive surgery.","Background
Clinical trials on the use of viscosupplementation with hyaluronic acid (HA) in patients with knee osteoarthritis (KOA) are inconsistent, making it challenging to determine its value in clinical practice.",Hyaluronic acid
"BACKGROUND
To promote wound recovery in the recipient region, we studied the impact of exogenous hyaluronic acid (HA) on acellular dermal matrix (ADM) paired with thin intermediate-thickness skin transplant.","Background
Clinical trials on the use of viscosupplementation with hyaluronic acid (HA) in patients with knee osteoarthritis (KOA) are inconsistent, making it challenging to determine its value in clinical practice.",Hyaluronic acid
This study aims to compare the efficacy and safety of using botulinum toxin type A (BTA) in combination with cross-linked and non-cross-linked hyaluronic acid (HA) for the treatment of atrophic acne scars.,"Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Ultimately by the hyaluronic acid to encapsulate the COP to get S-COP@HA, the nanoparticle with a size of 168.6 nm also exhibits good tumor accumulation and biosafety.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Collectively, our study elucidated the synergy of enzalutamide and MK-8776 in TNBC and developed a novel tumor-targeted nano drug delivery system HMnE&M@H, providing a potential therapeutic approach for the treatment of TNBC.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"To realize the drug delivery and local regulation of FNIP1 in diabetic wound sites, a novel designed glucose-responsive HA-PBA-FA/EN106 hydrogel is introduced for improving diabetic wound healing.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"OBJECTIVE
This was a randomized, evaluator-blind study assessing safety and effectiveness of intradermal VYC-12L treatment for improving cheek skin smoothness, fine lines, and hydration.","METHODS
This randomized, evaluator-blinded, no-treatment controlled study evaluated effectiveness and safety of HAVOL for correction of midface volume deficit and midface contour deficiency in Chinese subjects.",Hyaluronic acid
Hyaluronic acid (HA) cross-linked fillers have demonstrated good efficacy and tolerability for the correction of acne scars but are limited by their reduced biological activity and low concentrations.,"Antimicrobial peptides (AMPs) have been investigated for the treatment of infection-induced diabetic wounds, but their low stability and toxicity have limited their further applications to diabetic chronic wound healing.",Hyaluronic acid
"The HP microparticles demonstrate excellent injectability and encapsulation capacity for diol-containing drugs, highlighting its potential as a versatile drug delivery vehicle in the intra-articular treatment of TMJOA.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Intra-articular injection of hyaluronic acid has demonstrated long-term symptomatic relief in the broader knee osteoarthritis population, although its use in the flare population has not been extensively examined.","Background
Clinical trials on the use of viscosupplementation with hyaluronic acid (HA) in patients with knee osteoarthritis (KOA) are inconsistent, making it challenging to determine its value in clinical practice.",Hyaluronic acid
The highly biocompatible IR783-Fe@MnO2-HA nano-photosensitizers have exhibited tumor-targeting ability and efficient tumor inhibition in vivo due to the synergistic effect of photodynamic and ferroptosis antitumor therapies.,"However, the inability of the drugs to penetrate deeply into the tumor and form potent tumor vaccines in vivo severely restricts the antitumor effect of chemo-immunotherapy.",Hyaluronic acid
"The single-cell RNA sequencing analysis of the retina under acute high intraocular pressure revealed obvious changes in the proportions of various retinal cells, with ganglion cells decreased by 23%.","JOURNAL/nrgr/04.03/01300535-202419110-00032/figure1/v/2024-03-08T184507Z/r/image-tiff High intraocular pressure causes retinal ganglion cell injury in primary and secondary glaucoma diseases, yet the molecular landscape characteristics of retinal cells under high intraocular pressure remain unknown.",Hyaluronic acid
"A prospective, multicenter, evaluator-blinded, randomized, controlled study (NCT03418545) demonstrated the safety and effectiveness of Juvéderm Volbella XC (VYC-15L, Allergan Aesthetics, an AbbVie company, Irvine, CA) in adults seeking correction for infraorbital hollows.","METHODS
This randomized, evaluator-blinded, no-treatment controlled study evaluated effectiveness and safety of HAVOL for correction of midface volume deficit and midface contour deficiency in Chinese subjects.",Hyaluronic acid
"MATERIALS AND METHODS
In a double-blinded, placebo-controlled, single-center trial, we randomly assigned knees with early- to middle-stage knee OA (Kellgren-Lawrence grade 1-3) to an intra-articular injection with one of these substances: glucocorticoid, hyaluronic acid, PRP, or placebo.","CONCLUSIONS
There is no evidence that knee injections with glucocorticoid, PRP, or hyaluronic acid have superior short- or long-term effects in patients with low pain level at baseline and early- to middle-stage knee OA when compared with placebo.",Hyaluronic acid
"In this study, we developed a novel hyaluronic acid-based liraglutide-encapsulated triple-layer microneedle (TLM) as a painless and patient-friendly long-term drug delivery system.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Wound closure, collagen deposition and immunohistochemical examination confirmed the ability of the hydrogel to promote diabetic wound healing.","Antimicrobial peptides (AMPs) have been investigated for the treatment of infection-induced diabetic wounds, but their low stability and toxicity have limited their further applications to diabetic chronic wound healing.",Hyaluronic acid
"Eying the increasing impact of hyaluronic acid (HA) and its multifaceted applications, this study employs a non-toxic, one-pot strategy to develop injectable, self-healing hydrogels for biomedical applications.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"To this aim, an injectable self-healing hyaluronic acid (HA) hydrogel with long-persistent radiopacity was formed by the covalent grafting of a clinical contrast agent on HA.","Background
Clinical trials on the use of viscosupplementation with hyaluronic acid (HA) in patients with knee osteoarthritis (KOA) are inconsistent, making it challenging to determine its value in clinical practice.",Hyaluronic acid
"CONCLUSIONS
The treatment with hyaluronic acid 0.2% yielded remarkable outcomes in the re-epithelialization of superficial wounds and provided favorable recovery and tolerance for patients.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Wound closure, collagen deposition and immunohistochemical examination confirmed the ability of the hydrogel to promote diabetic wound healing.","However, the drug release and degradation behavior of clinically-used hydrogel wound dressings cannot be adjusted according to the wound microenvironment.",Hyaluronic acid
This innovative biomaterial combines the benefits of liposome nanocomplexes with dermal substitutes to offer a more accurate and effective treatment option for chronic diabetic wounds.,A hydrogel wound dressing with a single functionality fails to meet the requirements for successful clinical treatment of chronic diabetic wounds that generally possess complicated microenvironments.,Hyaluronic acid
"PURPOSE
To systematically review the literature to compare the efficacy and safety of platelet-rich plasma (PRP), bone marrow aspirate concentrate (BMAC), and hyaluronic acid (HA) injections for the treatment of knee osteoarthritis (OA).","Background
Complications of bone marrow aspirate concentrate (BMAC) injections for knee osteoarthritis (OA) are not well known and were investigated through comparison to other injections.",Hyaluronic acid
These results highlight the potential of the dual dynamically crosslinking hydrogel OHA-PBA/PVA/Gen as a multifunctional wound dressing for the treatment of bacteria-infected wound.,A hydrogel wound dressing with a single functionality fails to meet the requirements for successful clinical treatment of chronic diabetic wounds that generally possess complicated microenvironments.,Hyaluronic acid
"The outcomes have shown that a series of iPRF with hyaluronic acid injections in the lower eyelid region is a safe, proficient, pain-free, simple and rapid treatment option for actinic elastosis.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"In this study, we evaluated the utility of HA-coated Dexamethasone-sodium-phosphate (DEX)-chitosan nanoparticles (CSNPs) coated with hyaluronic acid (HA) as a sustained ocular delivery vehicle for the treatment of endotoxin-induced-uveitis (EIU) in rabbits.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Notably, the intra-articular administration of Met@SBHA in aged mice ameliorated cartilage senescence and OA pathogenesis.","Particularly, the oral administration of AB suppressed AGEs, receptors of AGEs, and carboxymethyl lysine in blood and skin tissue.",Hyaluronic acid
"STATEMENT OF SIGNIFICANCE: Here, a glucose and pH dual-responsive QO/@PV@AB7 hydrogel with antimicrobial and angiogenesis-promoting properties was developed for the treatment of infected wounds in diabetic feet.",A hydrogel wound dressing with a single functionality fails to meet the requirements for successful clinical treatment of chronic diabetic wounds that generally possess complicated microenvironments.,Hyaluronic acid
"AIM
The aim of this study was to evaluate the clinical and radiographic effects of hyaluronic acid (HA) gel application as an adjunct to minimally invasive nonsurgical treatment (MINST) in intrabony defects ≥3 mm.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"To develop a PEGylated and CD44-targeted liposomes, enabled by surface coating with hyaluronic acid (HA) via amide bond to improve the efficacy of imatinib mesylate (IM), for tumor-targeted cytoplasmic drug delivery.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
This study aims to assess the potential of chitosan nanoparticles coated with hyaluronic acid for the targeted delivery of AM (AM-CS/HA) against MCF-7 breast cancer cells.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Considering such factors, we developed GA loaded chitosan nanoparticles and modified with hyaluronic acid (HA) (HA@CS-GA NP) to assess the therapeutic potential against psoriasis.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"This guanosine-driven supramolecular hydrogel significantly increased the rate of wound healing in diabetic mice, promising a new strategy for chronic wound treatment.",A hydrogel wound dressing with a single functionality fails to meet the requirements for successful clinical treatment of chronic diabetic wounds that generally possess complicated microenvironments.,Hyaluronic acid
"Cytotoxicity results of the HA/5-Fu-MHM hydrogel film against HT29 cancer cells showed enhanced cytotoxicity due to the mannose and hyaluronic acid in its structure, which triggers a dual-targeted drug delivery system.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Methods and Results: In this study, we constructed a hyaluronic acid scaffold system (HA-MSC) to accelerate the adhesive growth of human MSCs and prolong their survival time in SCI rat lesions.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
This innovative biomaterial combines the benefits of liposome nanocomplexes with dermal substitutes to offer a more accurate and effective treatment option for chronic diabetic wounds.,"Antimicrobial peptides (AMPs) have been investigated for the treatment of infection-induced diabetic wounds, but their low stability and toxicity have limited their further applications to diabetic chronic wound healing.",Hyaluronic acid
"To realize the drug delivery and local regulation of FNIP1 in diabetic wound sites, a novel designed glucose-responsive HA-PBA-FA/EN106 hydrogel is introduced for improving diabetic wound healing.","Antimicrobial peptides (AMPs) have been investigated for the treatment of infection-induced diabetic wounds, but their low stability and toxicity have limited their further applications to diabetic chronic wound healing.",Hyaluronic acid
"Hyaluronic acid-based CEDMN patches are valuable alternatives to intracicatrical injections, as they offer a painless and effective method for administering corticosteroids in HTS.","(1) Background: Current treatments for knee osteoarthritis (KOA), such as intra-articular corticosteroids or hyaluronic acid (HA) injections, are controversial due to their ineffectiveness in preventing disease progression.",Hyaluronic acid
"Increasing evidence supports the use of platelet-rich plasma (PRP) combined with hyaluronic acid (HA) for the treatment of knee osteoarthritis, which effectively promotes cartilage repair.","Background
Clinical trials on the use of viscosupplementation with hyaluronic acid (HA) in patients with knee osteoarthritis (KOA) are inconsistent, making it challenging to determine its value in clinical practice.",Hyaluronic acid
"For this purpose, a cascade-targeted system was designed to overcome MDR, integrating lung adenocarcinoma-targeted hyaluronic acid (HA), mitochondrion-targeted zeolitic imidazolate framework-90 (ZIF-90), the clinically approved drug crizotinib (CRZ), and the fluorescence imaging agent/photosensitizer indocyanine green (ICG).","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
We combined hydrophilic hyaluronic acid (HA) with an oil-in-water system containing a poly(lactic acid-co-glycolic acid) (PLGA) copolymer of VER to synthesize HA@PLGA-VER (PHV) nanoparticles with favorable surface characteristics to improve the bioavailability and targeting ability of VER.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
